index;roots;terms;sents
524;rosten;vorderachse;kraftstoffleitungen rosten durch, der aggregateträger der vorderachse fault weg, federbeinrohre vorne rosten durch, alle möglichen kunststoffe und schaumstoffe im innenraum werden porös oder lösen sich auf usw...
525;tun;eoe;"; und dann die übliche auskunft beim vag teiledealer ""tut mir leid, ist alles eoe"" ... ;"
526;tun;auskunft;"; und dann die übliche auskunft beim vag teiledealer ""tut mir leid, ist alles eoe"" ... ;"
527;tun;vag;"; und dann die übliche auskunft beim vag teiledealer ""tut mir leid, ist alles eoe"" ... ;"
528;tun;teiledealer;"; und dann die übliche auskunft beim vag teiledealer ""tut mir leid, ist alles eoe"" ... ;"
529;tun;"; übliche auskunft";"; und dann die übliche auskunft beim vag teiledealer ""tut mir leid, ist alles eoe"" ... ;"
530;antworten;antworten;vielen dank für die ganzen antworten.
531;antworten;dank;vielen dank für die ganzen antworten.
532;steigen;b5;nun meine frage: inwiefern steigen denn die kosten wenn man jetzt z.b. einen b4 oder a4 b5 nimmt?
533;steigen;a4;nun meine frage: inwiefern steigen denn die kosten wenn man jetzt z.b. einen b4 oder a4 b5 nimmt?
534;steigen;frage;nun meine frage: inwiefern steigen denn die kosten wenn man jetzt z.b. einen b4 oder a4 b5 nimmt?
535;steigen;z.b.;nun meine frage: inwiefern steigen denn die kosten wenn man jetzt z.b. einen b4 oder a4 b5 nimmt?
536;steigen;inwiefern;nun meine frage: inwiefern steigen denn die kosten wenn man jetzt z.b. einen b4 oder a4 b5 nimmt?
537;steigen;kosten;nun meine frage: inwiefern steigen denn die kosten wenn man jetzt z.b. einen b4 oder a4 b5 nimmt?
538;steigen;b4;nun meine frage: inwiefern steigen denn die kosten wenn man jetzt z.b. einen b4 oder a4 b5 nimmt?
539;teuer werden;klar versicherung;klar versicherung wird teurer (aber runtergerechnet auf die kosten pro monat nicht viel im vergleich zum sprit).
540;teuer werden;vergleich;klar versicherung wird teurer (aber runtergerechnet auf die kosten pro monat nicht viel im vergleich zum sprit).
541;teuer werden;sprit;klar versicherung wird teurer (aber runtergerechnet auf die kosten pro monat nicht viel im vergleich zum sprit).
542;teuer werden;kosten;klar versicherung wird teurer (aber runtergerechnet auf die kosten pro monat nicht viel im vergleich zum sprit).
543;teuer werden;monat;klar versicherung wird teurer (aber runtergerechnet auf die kosten pro monat nicht viel im vergleich zum sprit).
544;teuer werden;versicherung;klar versicherung wird teurer (aber runtergerechnet auf die kosten pro monat nicht viel im vergleich zum sprit).
545;sehen;verbrauch;wie sieht's in dem sinne mit dem verbrauch aus?
546;sehen;sinne;wie sieht's in dem sinne mit dem verbrauch aus?
547;weiß;motorisierung;soweit ich weiß verbrauchen beide bei ähnlicher motorisierung mehr.
548;können;a4;und kann man bei einem a4 noch was selber machen?  
549;nicht halte;muss;"ich halte nämlich nicht allzu viel davon, wenn man wegen jeder kleinigkeit in die werkstatt muss weil man zum einen nichts mehr sieht und nirgendwo rankommt und zum anderen fehlermeldungen ausgelesen werden müssen und sowas...  ; und in dem sinne auch eine (vielleicht) ganz blöde frage: was ist gerade beim a4 mit diesel?"
550;nicht halte;a4;"ich halte nämlich nicht allzu viel davon, wenn man wegen jeder kleinigkeit in die werkstatt muss weil man zum einen nichts mehr sieht und nirgendwo rankommt und zum anderen fehlermeldungen ausgelesen werden müssen und sowas...  ; und in dem sinne auch eine (vielleicht) ganz blöde frage: was ist gerade beim a4 mit diesel?"
551;nicht halte;werkstatt;"ich halte nämlich nicht allzu viel davon, wenn man wegen jeder kleinigkeit in die werkstatt muss weil man zum einen nichts mehr sieht und nirgendwo rankommt und zum anderen fehlermeldungen ausgelesen werden müssen und sowas...  ; und in dem sinne auch eine (vielleicht) ganz blöde frage: was ist gerade beim a4 mit diesel?"
552;nicht halte;sinne;"ich halte nämlich nicht allzu viel davon, wenn man wegen jeder kleinigkeit in die werkstatt muss weil man zum einen nichts mehr sieht und nirgendwo rankommt und zum anderen fehlermeldungen ausgelesen werden müssen und sowas...  ; und in dem sinne auch eine (vielleicht) ganz blöde frage: was ist gerade beim a4 mit diesel?"
553;nicht halte;frage;"ich halte nämlich nicht allzu viel davon, wenn man wegen jeder kleinigkeit in die werkstatt muss weil man zum einen nichts mehr sieht und nirgendwo rankommt und zum anderen fehlermeldungen ausgelesen werden müssen und sowas...  ; und in dem sinne auch eine (vielleicht) ganz blöde frage: was ist gerade beim a4 mit diesel?"
554;nicht halte;diesel;"ich halte nämlich nicht allzu viel davon, wenn man wegen jeder kleinigkeit in die werkstatt muss weil man zum einen nichts mehr sieht und nirgendwo rankommt und zum anderen fehlermeldungen ausgelesen werden müssen und sowas...  ; und in dem sinne auch eine (vielleicht) ganz blöde frage: was ist gerade beim a4 mit diesel?"
555;nicht halte;fehlermeldungen;"ich halte nämlich nicht allzu viel davon, wenn man wegen jeder kleinigkeit in die werkstatt muss weil man zum einen nichts mehr sieht und nirgendwo rankommt und zum anderen fehlermeldungen ausgelesen werden müssen und sowas...  ; und in dem sinne auch eine (vielleicht) ganz blöde frage: was ist gerade beim a4 mit diesel?"
556;nicht halte;sowas;"ich halte nämlich nicht allzu viel davon, wenn man wegen jeder kleinigkeit in die werkstatt muss weil man zum einen nichts mehr sieht und nirgendwo rankommt und zum anderen fehlermeldungen ausgelesen werden müssen und sowas...  ; und in dem sinne auch eine (vielleicht) ganz blöde frage: was ist gerade beim a4 mit diesel?"
557;nicht halte;kleinigkeit;"ich halte nämlich nicht allzu viel davon, wenn man wegen jeder kleinigkeit in die werkstatt muss weil man zum einen nichts mehr sieht und nirgendwo rankommt und zum anderen fehlermeldungen ausgelesen werden müssen und sowas...  ; und in dem sinne auch eine (vielleicht) ganz blöde frage: was ist gerade beim a4 mit diesel?"
558;verbrauch;verbrauch;verbrauch geringer und (wahrscheinlich nicht mehr lange) günstigerer literpreis.
559;verbrauch;literpreis;verbrauch geringer und (wahrscheinlich nicht mehr lange) günstigerer literpreis.
560;auslegen sein;b4;"der b4 ist etwas schwerer und der antrieb ist auch nicht mehr so sparsam ausgelegt  ;"
561;auslegen sein;antrieb;"der b4 ist etwas schwerer und der antrieb ist auch nicht mehr so sparsam ausgelegt  ;"
562;geben;frühe;"es gibt frühe 2.0 mit 90ps und lang übersetzten getriebe,das kommt dem 1.8s recht nah ;"
563;geben;recht;"es gibt frühe 2.0 mit 90ps und lang übersetzten getriebe,das kommt dem 1.8s recht nah ;"
564;geben;90ps;"es gibt frühe 2.0 mit 90ps und lang übersetzten getriebe,das kommt dem 1.8s recht nah ;"
565;geben;getriebe;"es gibt frühe 2.0 mit 90ps und lang übersetzten getriebe,das kommt dem 1.8s recht nah ;"
566;geben;1.8s;"es gibt frühe 2.0 mit 90ps und lang übersetzten getriebe,das kommt dem 1.8s recht nah ;"
567;aussehen;b5;"mit viel überland liegst auch bisschen unter 8l/100km,in der stadt auch schon 9,5l rum ; wird aber auch beim b5 nicht viel anders aussehen  ;"
568;aussehen;8l/100km;"mit viel überland liegst auch bisschen unter 8l/100km,in der stadt auch schon 9,5l rum ; wird aber auch beim b5 nicht viel anders aussehen  ;"
569;aussehen;rum;"mit viel überland liegst auch bisschen unter 8l/100km,in der stadt auch schon 9,5l rum ; wird aber auch beim b5 nicht viel anders aussehen  ;"
570;aussehen;überland;"mit viel überland liegst auch bisschen unter 8l/100km,in der stadt auch schon 9,5l rum ; wird aber auch beim b5 nicht viel anders aussehen  ;"
571;aussehen;stadt;"mit viel überland liegst auch bisschen unter 8l/100km,in der stadt auch schon 9,5l rum ; wird aber auch beim b5 nicht viel anders aussehen  ;"
572;is;vorteil;"da is der b3 mit ner knappen tonne gewicht im vorteil ;"
573;is;b3;"da is der b3 mit ner knappen tonne gewicht im vorteil ;"
574;is;gewicht;"da is der b3 mit ner knappen tonne gewicht im vorteil ;"
575;is;tonne;"da is der b3 mit ner knappen tonne gewicht im vorteil ;"
576;is;is;"da is der b3 mit ner knappen tonne gewicht im vorteil ;"
577;sollen;solltest;"abs solltest vielleicht schon haben,gbs auch im b3,aber eher selten ;"
578;sollen;abs solltest;"abs solltest vielleicht schon haben,gbs auch im b3,aber eher selten ;"
579;sollen;b3,aber;"abs solltest vielleicht schon haben,gbs auch im b3,aber eher selten ;"
580;teuer haben;b4;"nicht jeder b4 hat abs,das war bis sommer 1993 auch ein teures extra ;"
581;teuer haben;sommer;"nicht jeder b4 hat abs,das war bis sommer 1993 auch ein teures extra ;"
582;ab;b4;"ab da dann serie,b4 findest du aber schon wesentlich häufiger mit ;"
583;finden;radstand;"qualitativ finde ich den b3 bisschen wertiger,dafür ist der b4 mit längeren radstand,breiterer spur und grösseren rädern aber schon komfortabler und wirkt ausgereifter ;"
584;finden;b3;"qualitativ finde ich den b3 bisschen wertiger,dafür ist der b4 mit längeren radstand,breiterer spur und grösseren rädern aber schon komfortabler und wirkt ausgereifter ;"
585;finden;spur;"qualitativ finde ich den b3 bisschen wertiger,dafür ist der b4 mit längeren radstand,breiterer spur und grösseren rädern aber schon komfortabler und wirkt ausgereifter ;"
586;finden;rädern;"qualitativ finde ich den b3 bisschen wertiger,dafür ist der b4 mit längeren radstand,breiterer spur und grösseren rädern aber schon komfortabler und wirkt ausgereifter ;"
587;finden;b4;"qualitativ finde ich den b3 bisschen wertiger,dafür ist der b4 mit längeren radstand,breiterer spur und grösseren rädern aber schon komfortabler und wirkt ausgereifter ;"
588;finden;wertiger;"qualitativ finde ich den b3 bisschen wertiger,dafür ist der b4 mit längeren radstand,breiterer spur und grösseren rädern aber schon komfortabler und wirkt ausgereifter ;"
589;sein;sache;"rost ist so ne sache  ;"
590;sein;rost;"rost ist so ne sache  ;"
591;hyben;vollverzinkte;"die autos hyben vollverzinkte karosserien,was schon mal sehr gut is ;"
592;hyben;karosserien;"die autos hyben vollverzinkte karosserien,was schon mal sehr gut is ;"
593;hyben;autos;"die autos hyben vollverzinkte karosserien,was schon mal sehr gut is ;"
594;haben;buckel;"die autos haben aber auch schon gut 25 jahre und mehr aufm buckel,den meisten sieht man das mittlerweile auch schon an ;"
595;haben;autos;"die autos haben aber auch schon gut 25 jahre und mehr aufm buckel,den meisten sieht man das mittlerweile auch schon an ;"
596;haben;aufm;"die autos haben aber auch schon gut 25 jahre und mehr aufm buckel,den meisten sieht man das mittlerweile auch schon an ;"
597;haben;jahre;"die autos haben aber auch schon gut 25 jahre und mehr aufm buckel,den meisten sieht man das mittlerweile auch schon an ;"
598;zitat;zitat;zitat:
599;schreiben;februar;@emil2267 schrieb am 7. februar 2020 um 00:38:04 uhr:
600;schreiben;00:38:04;@emil2267 schrieb am 7. februar 2020 um 00:38:04 uhr:
601;schreiben;@emil2267;@emil2267 schrieb am 7. februar 2020 um 00:38:04 uhr:
602;schreiben;uhr;@emil2267 schrieb am 7. februar 2020 um 00:38:04 uhr:
603;auslegen sein;b4;"; der b4 ist etwas schwerer und der antrieb ist auch nicht mehr so sparsam ausgelegt  ;"
604;auslegen sein;antrieb;"; der b4 ist etwas schwerer und der antrieb ist auch nicht mehr so sparsam ausgelegt  ;"
605;geben;frühe;"es gibt frühe 2.0 mit 90ps und lang übersetzten getriebe,das kommt dem 1.8s recht nah ;"
606;geben;recht;"es gibt frühe 2.0 mit 90ps und lang übersetzten getriebe,das kommt dem 1.8s recht nah ;"
607;geben;90ps;"es gibt frühe 2.0 mit 90ps und lang übersetzten getriebe,das kommt dem 1.8s recht nah ;"
608;geben;getriebe;"es gibt frühe 2.0 mit 90ps und lang übersetzten getriebe,das kommt dem 1.8s recht nah ;"
609;geben;1.8s;"es gibt frühe 2.0 mit 90ps und lang übersetzten getriebe,das kommt dem 1.8s recht nah ;"
610;erkennen;gang;woran erkennt man die mit länger übersetzten 5. gang?
611;fahren sein;muss;wenn die plakette kein muss ist und du wenig kurzstrecke fährst ist ein 1.9 tdi sicher ne gute wahl.
612;fahren sein;kurzstrecke;wenn die plakette kein muss ist und du wenig kurzstrecke fährst ist ein 1.9 tdi sicher ne gute wahl.
613;fahren sein;plakette;wenn die plakette kein muss ist und du wenig kurzstrecke fährst ist ein 1.9 tdi sicher ne gute wahl.
614;fahren sein;tdi;wenn die plakette kein muss ist und du wenig kurzstrecke fährst ist ein 1.9 tdi sicher ne gute wahl.
615;fahren sein;sicher;wenn die plakette kein muss ist und du wenig kurzstrecke fährst ist ein 1.9 tdi sicher ne gute wahl.
616;fahren sein;wahl;wenn die plakette kein muss ist und du wenig kurzstrecke fährst ist ein 1.9 tdi sicher ne gute wahl.
617;als;pd;ganz egal ob als vep oder pd motor.
618;als;vep;ganz egal ob als vep oder pd motor.
619;langlebig verbauen;audi;"; wurden audi 80, als auch im a4 und golf verbaut und sind relativ langlebig und bei vernünftiger fahrweise bei ca 6l auf 100km relativ genügsam."
620;langlebig verbauen;a4;"; wurden audi 80, als auch im a4 und golf verbaut und sind relativ langlebig und bei vernünftiger fahrweise bei ca 6l auf 100km relativ genügsam."
621;langlebig verbauen;fahrweise;"; wurden audi 80, als auch im a4 und golf verbaut und sind relativ langlebig und bei vernünftiger fahrweise bei ca 6l auf 100km relativ genügsam."
622;langlebig verbauen;golf;"; wurden audi 80, als auch im a4 und golf verbaut und sind relativ langlebig und bei vernünftiger fahrweise bei ca 6l auf 100km relativ genügsam."
623;langlebig verbauen;ca;"; wurden audi 80, als auch im a4 und golf verbaut und sind relativ langlebig und bei vernünftiger fahrweise bei ca 6l auf 100km relativ genügsam."
624;langlebig verbauen;km;"; wurden audi 80, als auch im a4 und golf verbaut und sind relativ langlebig und bei vernünftiger fahrweise bei ca 6l auf 100km relativ genügsam."
625;problem machen;a4 b7;"; selber machen ist bis hin zum a4 b7 bei den meisten motoren kein problem."
626;problem machen;a4;"; selber machen ist bis hin zum a4 b7 bei den meisten motoren kein problem."
627;problem machen;motoren;"; selber machen ist bis hin zum a4 b7 bei den meisten motoren kein problem."
628;problem machen;b7;"; selber machen ist bis hin zum a4 b7 bei den meisten motoren kein problem."
629;problem machen;problem;"; selber machen ist bis hin zum a4 b7 bei den meisten motoren kein problem."
630;sollen;a4;für die neueren fahrzeuge wie a4 oder golf sollte man sich aber ein diagnosegerät besorgen.
631;sollen;neueren fahrzeuge;für die neueren fahrzeuge wie a4 oder golf sollte man sich aber ein diagnosegerät besorgen.
632;sollen;diagnosegerät;für die neueren fahrzeuge wie a4 oder golf sollte man sich aber ein diagnosegerät besorgen.
633;sollen;fahrzeuge;für die neueren fahrzeuge wie a4 oder golf sollte man sich aber ein diagnosegerät besorgen.
634;sollen;golf;für die neueren fahrzeuge wie a4 oder golf sollte man sich aber ein diagnosegerät besorgen.
635;glauben;kostenstellen;"; du kannst mir aber glauben, wenn ich dir sage, dass kraftstoff eine der kleinsten kostenstellen beim fahrzeug ist."
636;glauben;fahrzeug;"; du kannst mir aber glauben, wenn ich dir sage, dass kraftstoff eine der kleinsten kostenstellen beim fahrzeug ist."
637;glauben;kraftstoff;"; du kannst mir aber glauben, wenn ich dir sage, dass kraftstoff eine der kleinsten kostenstellen beim fahrzeug ist."
638;werden;verbrauch;"das wird erst ab nem verbrauch von 15l oder mehr interessant. ;   "
639;werden;15l;"das wird erst ab nem verbrauch von 15l oder mehr interessant. ;   "
640;musst;einkalkulieren;"; bei allen a4 modellen musst du definitiv die mehrlenkerachse mit einkalkulieren."
641;musst;modellen;"; bei allen a4 modellen musst du definitiv die mehrlenkerachse mit einkalkulieren."
642;musst;a4;"; bei allen a4 modellen musst du definitiv die mehrlenkerachse mit einkalkulieren."
643;musst;mehrlenkerachse;"; bei allen a4 modellen musst du definitiv die mehrlenkerachse mit einkalkulieren."
644;thema sein;kühler;"; bei den alten fahrzeugen so sachen wie auspuff, sich auflösende verkleidungen,verlegte oder leckende kühler,federn&dämpfer,... die vollverzinkung ist gut, aber bei knapp 30 jahren ist rost ein thema."
645;thema sein;rost;"; bei den alten fahrzeugen so sachen wie auspuff, sich auflösende verkleidungen,verlegte oder leckende kühler,federn&dämpfer,... die vollverzinkung ist gut, aber bei knapp 30 jahren ist rost ein thema."
646;thema sein;vollverzinkung;"; bei den alten fahrzeugen so sachen wie auspuff, sich auflösende verkleidungen,verlegte oder leckende kühler,federn&dämpfer,... die vollverzinkung ist gut, aber bei knapp 30 jahren ist rost ein thema."
647;thema sein;auspuff;"; bei den alten fahrzeugen so sachen wie auspuff, sich auflösende verkleidungen,verlegte oder leckende kühler,federn&dämpfer,... die vollverzinkung ist gut, aber bei knapp 30 jahren ist rost ein thema."
648;thema sein;alten fahrzeugen;"; bei den alten fahrzeugen so sachen wie auspuff, sich auflösende verkleidungen,verlegte oder leckende kühler,federn&dämpfer,... die vollverzinkung ist gut, aber bei knapp 30 jahren ist rost ein thema."
649;thema sein;sachen;"; bei den alten fahrzeugen so sachen wie auspuff, sich auflösende verkleidungen,verlegte oder leckende kühler,federn&dämpfer,... die vollverzinkung ist gut, aber bei knapp 30 jahren ist rost ein thema."
650;thema sein;federn&dämpfer;"; bei den alten fahrzeugen so sachen wie auspuff, sich auflösende verkleidungen,verlegte oder leckende kühler,federn&dämpfer,... die vollverzinkung ist gut, aber bei knapp 30 jahren ist rost ein thema."
651;thema sein;jahren;"; bei den alten fahrzeugen so sachen wie auspuff, sich auflösende verkleidungen,verlegte oder leckende kühler,federn&dämpfer,... die vollverzinkung ist gut, aber bei knapp 30 jahren ist rost ein thema."
652;thema sein;fahrzeugen;"; bei den alten fahrzeugen so sachen wie auspuff, sich auflösende verkleidungen,verlegte oder leckende kühler,federn&dämpfer,... die vollverzinkung ist gut, aber bei knapp 30 jahren ist rost ein thema."
653;thema sein;thema;"; bei den alten fahrzeugen so sachen wie auspuff, sich auflösende verkleidungen,verlegte oder leckende kühler,federn&dämpfer,... die vollverzinkung ist gut, aber bei knapp 30 jahren ist rost ein thema."
654;kombi;baujahr;"; wir hatten als familienkutsche mal einen scoda octavia 1 baujahr 2004, 1.9 tdi kombi ;   "
655;kombi;scoda;"; wir hatten als familienkutsche mal einen scoda octavia 1 baujahr 2004, 1.9 tdi kombi ;   "
656;kombi;mal;"; wir hatten als familienkutsche mal einen scoda octavia 1 baujahr 2004, 1.9 tdi kombi ;   "
657;kombi;tdi;"; wir hatten als familienkutsche mal einen scoda octavia 1 baujahr 2004, 1.9 tdi kombi ;   "
658;kombi;kombi;"; wir hatten als familienkutsche mal einen scoda octavia 1 baujahr 2004, 1.9 tdi kombi ;   "
659;kombi;octavia;"; wir hatten als familienkutsche mal einen scoda octavia 1 baujahr 2004, 1.9 tdi kombi ;   "
660;unkaputtbar verbrauchen;fahrwerk;"; der hatte zwar echt wenig ausstattung, aber ein tolles fahrwerk, hat nur 5einhalb liter diesel verbraucht und war praktisch unkaputtbar.  "
661;unkaputtbar verbrauchen;liter;"; der hatte zwar echt wenig ausstattung, aber ein tolles fahrwerk, hat nur 5einhalb liter diesel verbraucht und war praktisch unkaputtbar.  "
662;unkaputtbar verbrauchen;ausstattung;"; der hatte zwar echt wenig ausstattung, aber ein tolles fahrwerk, hat nur 5einhalb liter diesel verbraucht und war praktisch unkaputtbar.  "
663;unkaputtbar verbrauchen;diesel;"; der hatte zwar echt wenig ausstattung, aber ein tolles fahrwerk, hat nur 5einhalb liter diesel verbraucht und war praktisch unkaputtbar.  "
664;groß draufgefahren;großes;wir haben über 250.000 km draufgefahren, war nie was großes.
665;groß draufgefahren;km;wir haben über 250.000 km draufgefahren, war nie was großes.
666;standard sein;standard;"klimaanlage, boadcomputer, servolenkung/abs war standard ;   "
667;standard sein;boadcomputer;"klimaanlage, boadcomputer, servolenkung/abs war standard ;   "
668;standard sein;servolenkung/abs;"klimaanlage, boadcomputer, servolenkung/abs war standard ;   "
669;standard sein;klimaanlage;"klimaanlage, boadcomputer, servolenkung/abs war standard ;   "
670;";";anregung;"; nur mal so als anregung."
671;halten;ausschau;"wenn ich mir was billiges zun easy fahren suchen würde würd ich vielleicht wieder nach sowas ausschau halten ;   "
672;halten;billiges;"wenn ich mir was billiges zun easy fahren suchen würde würd ich vielleicht wieder nach sowas ausschau halten ;   "
673;halten;würd;"wenn ich mir was billiges zun easy fahren suchen würde würd ich vielleicht wieder nach sowas ausschau halten ;   "
674;halten;easy;"wenn ich mir was billiges zun easy fahren suchen würde würd ich vielleicht wieder nach sowas ausschau halten ;   "
675;halten;sowas;"wenn ich mir was billiges zun easy fahren suchen würde würd ich vielleicht wieder nach sowas ausschau halten ;   "
676;bedenken;bedenke;"; bedenke:"
677;bedenken;"; bedenke";"; bedenke:"
678;teuer sein;ersatzteilregal;"das ersatzteilregal ist bei audi egal welches modell immer etwas teurer ;"
679;teuer sein;audi;"das ersatzteilregal ist bei audi egal welches modell immer etwas teurer ;"
680;teuer sein;modell;"das ersatzteilregal ist bei audi egal welches modell immer etwas teurer ;"
681;schauen;motor;ja wenn's wirklich nur ums geld geht würde ich auch eher nach sowas schauen oder einen golf iv mit dem 1.8er motor.
682;schauen;golf;ja wenn's wirklich nur ums geld geht würde ich auch eher nach sowas schauen oder einen golf iv mit dem 1.8er motor.
683;schauen;geld;ja wenn's wirklich nur ums geld geht würde ich auch eher nach sowas schauen oder einen golf iv mit dem 1.8er motor.
684;schauen;sowas;ja wenn's wirklich nur ums geld geht würde ich auch eher nach sowas schauen oder einen golf iv mit dem 1.8er motor.
685;ausschließen;golf 4 audi a4;also golf 4 und audi a4 habe ich gleich mal ausgeschlossen!!
686;ausschließen;golf;also golf 4 und audi a4 habe ich gleich mal ausgeschlossen!!
687;ausschließen;audi;also golf 4 und audi a4 habe ich gleich mal ausgeschlossen!!
688;ausschließen;a4;also golf 4 und audi a4 habe ich gleich mal ausgeschlossen!!
689;denn;kosten;"denn: doppelte kosten für die versicherung! ;   "
690;denn;versicherung;"denn: doppelte kosten für die versicherung! ;   "
691;kaufen;hand;"; habe mit letzte woche einen audi 80 b3 aus erster hand für 1600€ gekauft."
692;kaufen;audi;"; habe mit letzte woche einen audi 80 b3 aus erster hand für 1600€ gekauft."
693;kaufen;b3;"; habe mit letzte woche einen audi 80 b3 aus erster hand für 1600€ gekauft."
694;kaufen;woche;"; habe mit letzte woche einen audi 80 b3 aus erster hand für 1600€ gekauft."
695;kaufen;letzte woche;"; habe mit letzte woche einen audi 80 b3 aus erster hand für 1600€ gekauft."
696;begeistern machen;einwandfrei;läuft einwandfrei und mein sohn, der seine ersten fahrversuche damit machen soll ist begeistert.
697;begeistern machen;fahrversuche;läuft einwandfrei und mein sohn, der seine ersten fahrversuche damit machen soll ist begeistert.
698;begeistern machen;sohn;läuft einwandfrei und mein sohn, der seine ersten fahrversuche damit machen soll ist begeistert.
699;kennzeichen;fahrverbote;zusätzlich habe ich h kennzeichen, also keinerlei fahrverbote.  
700;sehen;fein;der sieht aber fein aus!
701;machen;zustand;das foto macht einiges gut glaube ich ... aber er ist in gutem zustand.
702;machen;foto;das foto macht einiges gut glaube ich ... aber er ist in gutem zustand.
703;polieren;fordermann;"im frühjahr wird poliert und die kunststoffe auf fordermann gebracht. ;"
704;polieren;kunststoffe;"im frühjahr wird poliert und die kunststoffe auf fordermann gebracht. ;"
705;polieren;frühjahr;"im frühjahr wird poliert und die kunststoffe auf fordermann gebracht. ;"
706;müssen;kotflügel;zwei kotflügel müssen mal hin.
707;rostfrei;ansonsten rostfrei;ansonsten rostfrei.  
708;rostfrei;rostfrei;ansonsten rostfrei.  
709;finden;s.martin nen wagen;s.martin schon nen wagen gefunden oder dich entschieden?
710;finden;s.martin;s.martin schon nen wagen gefunden oder dich entschieden?
711;finden;wagen;s.martin schon nen wagen gefunden oder dich entschieden?
712;entscheiden dauern;deutschland;tatsächlich ist nichts direkt entschieden und das wird auch noch ein bisschen dauern, da ich erst im juni wieder in deutschland bin.  
713;entscheiden dauern;juni;tatsächlich ist nichts direkt entschieden und das wird auch noch ein bisschen dauern, da ich erst im juni wieder in deutschland bin.  
714;angeboten;86c;vor ein paar tagen hat mir jedoch ein bekannter einen polo 86c angeboten.
715;angeboten;tagen;vor ein paar tagen hat mir jedoch ein bekannter einen polo 86c angeboten.
716;angeboten;polo;vor ein paar tagen hat mir jedoch ein bekannter einen polo 86c angeboten.
717;angeboten;bekannter;vor ein paar tagen hat mir jedoch ein bekannter einen polo 86c angeboten.
718;verkaufen;audi;ist zwar kein 80er audi aber er hat selbst einen und macht den, den er jetzt verkaufen will, fit.
719;verkaufen;80er audi;ist zwar kein 80er audi aber er hat selbst einen und macht den, den er jetzt verkaufen will, fit.
720;heißen;felgen;heißt alles von riemen bis felgen und reifen.
721;heißen;reifen;heißt alles von riemen bis felgen und reifen.
722;heißen;riemen;heißt alles von riemen bis felgen und reifen.
723;1000 mein;tüv;preis wird um die 1000 sein und er macht noch neuen tüv.
724;1000 mein;preis;preis wird um die 1000 sein und er macht noch neuen tüv.
725;nicht unkompliziert sein;auto;dem bin ich gar nicht so abgeneigt, einfach weil es unkompliziert wäre (und das auto schon was hat).
726;uralt haben;86c;"; hatte ich auch schonmal, ein 86c ist aber auch schon uralt."
727;uralt haben;uralt;"; hatte ich auch schonmal, ein 86c ist aber auch schon uralt."
728;musste;prinzip;da musste du im prinzip nach den selben problemstellen wie beim 80er schauen.
729;musste;problemstellen;da musste du im prinzip nach den selben problemstellen wie beim 80er schauen.
730;zum;bsp;zum bsp.
731;rosten;hinterachse;"kraftstoff- und bremsleitungen rosten gerne im bereich der hinterachse durch... ;"
732;rosten;bereich;"kraftstoff- und bremsleitungen rosten gerne im bereich der hinterachse durch... ;"
733;lässt;recht;lässt sich bei dem aber auch alles recht leicht reparieren.
734;zitat;zitat;zitat:
735;schreiben;februar;@bodenblech_78 schrieb am 12. februar 2020 um 18:53:12 uhr:
736;schreiben;18:53:12;@bodenblech_78 schrieb am 12. februar 2020 um 18:53:12 uhr:
737;schreiben;uhr;@bodenblech_78 schrieb am 12. februar 2020 um 18:53:12 uhr:
738;schreiben;@bodenblech_78;@bodenblech_78 schrieb am 12. februar 2020 um 18:53:12 uhr:
739;hören;m.m.n;"; hört sich m.m.n."
740;zettel;fragen+problemen;"1 großer zettel für einen frisch aufbereiteten 86c mit neuer plakette von einem befreundeten schrauber, der dir bei zukünftigen fragen+problemen weiterhelfen kann/wird! ; zugreifen, wenn dir die kleine kiste gefällt... ;"
741;zettel;plakette;"1 großer zettel für einen frisch aufbereiteten 86c mit neuer plakette von einem befreundeten schrauber, der dir bei zukünftigen fragen+problemen weiterhelfen kann/wird! ; zugreifen, wenn dir die kleine kiste gefällt... ;"
742;zettel;1 zettel;"1 großer zettel für einen frisch aufbereiteten 86c mit neuer plakette von einem befreundeten schrauber, der dir bei zukünftigen fragen+problemen weiterhelfen kann/wird! ; zugreifen, wenn dir die kleine kiste gefällt... ;"
743;zettel;zettel;"1 großer zettel für einen frisch aufbereiteten 86c mit neuer plakette von einem befreundeten schrauber, der dir bei zukünftigen fragen+problemen weiterhelfen kann/wird! ; zugreifen, wenn dir die kleine kiste gefällt... ;"
744;zettel;schrauber;"1 großer zettel für einen frisch aufbereiteten 86c mit neuer plakette von einem befreundeten schrauber, der dir bei zukünftigen fragen+problemen weiterhelfen kann/wird! ; zugreifen, wenn dir die kleine kiste gefällt... ;"
745;zettel;kiste;"1 großer zettel für einen frisch aufbereiteten 86c mit neuer plakette von einem befreundeten schrauber, der dir bei zukünftigen fragen+problemen weiterhelfen kann/wird! ; zugreifen, wenn dir die kleine kiste gefällt... ;"
746;fahren;stadtverkehr;ich persönlich würde allerdings einen b4 bevorzugen - speziell, wenn du nicht nur kurzstrecke bzw. stadtverkehr fahren willst.
747;fahren;b4;ich persönlich würde allerdings einen b4 bevorzugen - speziell, wenn du nicht nur kurzstrecke bzw. stadtverkehr fahren willst.
748;fahren;kurzstrecke;ich persönlich würde allerdings einen b4 bevorzugen - speziell, wenn du nicht nur kurzstrecke bzw. stadtverkehr fahren willst.
